id,date,user,pc,activity,filename,size
CERT_LOG_1046,09/01/2026 19:30:00,USER_109,PC_109,FileOpen,\\server\share\document_1.docx,22000000
CERT_LOG_1047,09/01/2026 19:45:00,USER_110,PC_110,FileOpen,\\server\share\document_2.docx,23000000
CERT_LOG_1048,09/01/2026 20:00:00,USER_111,PC_111,FileOpen,\\server\share\document_3.docx,24000000
CERT_LOG_1049,09/01/2026 20:15:00,USER_112,PC_112,FileOpen,\\server\share\document_4.docx,25000000
CERT_LOG_1050,09/01/2026 20:30:00,USER_113,PC_113,Logon,\\server\share\document_5.docx,1000000
CERT_LOG_1051,09/01/2026 20:45:00,USER_114,PC_114,FileOpen,\\server\share\document_6.docx,2000000
CERT_LOG_1052,09/01/2026 21:00:00,USER_115,PC_115,FileOpen,\\server\share\document_7.docx,3000000
CERT_LOG_1053,09/01/2026 21:15:00,USER_116,PC_116,FileOpen,\\server\share\document_8.docx,4000000
CERT_LOG_1054,09/01/2026 21:30:00,USER_117,PC_117,FileOpen,\\server\share\document_9.docx,5000000
CERT_LOG_1055,09/01/2026 21:45:00,USER_118,PC_118,FileOpen,\\server\share\document_10.docx,6000000
CERT_LOG_1056,09/01/2026 22:00:00,USER_119,PC_119,FileOpen,\\server\share\document_11.docx,7000000
CERT_LOG_1057,09/01/2026 22:15:00,USER_101,PC_101,FileOpen,\\server\share\document_12.docx,8000000
CERT_LOG_1058,09/01/2026 22:30:00,USER_102,PC_102,FileOpen,\\server\share\document_13.docx,9000000
CERT_LOG_1059,09/01/2026 22:45:00,USER_103,PC_103,FileOpen,\\server\share\document_14.docx,10000000
CERT_LOG_1060,09/01/2026 23:00:00,USER_104,PC_104,Logon,\\server\share\document_0.docx,11000000
CERT_LOG_1061,09/01/2026 23:15:00,USER_105,PC_105,FileOpen,\\server\share\document_1.docx,12000000
CERT_LOG_1062,09/01/2026 23:30:00,USER_106,PC_106,FileOpen,\\server\share\document_2.docx,13000000
CERT_LOG_1063,09/01/2026 23:45:00,USER_107,PC_107,FileOpen,\\server\share\document_3.docx,14000000
CERT_LOG_1064,09/02/2026 00:00:00,USER_108,PC_108,FileOpen,\\server\share\document_4.docx,15000000
CERT_LOG_1065,09/02/2026 00:15:00,USER_109,PC_109,FileOpen,\\server\share\document_5.docx,16000000
CERT_LOG_1066,09/02/2026 00:30:00,USER_110,PC_110,FileOpen,\\server\share\document_6.docx,17000000
CERT_LOG_1067,09/02/2026 00:45:00,USER_111,PC_111,FileOpen,\\server\share\document_7.docx,18000000
CERT_LOG_1068,09/02/2026 01:00:00,USER_112,PC_112,FileOpen,\\server\share\document_8.docx,19000000
CERT_LOG_1069,09/02/2026 01:15:00,USER_113,PC_113,FileOpen,\\server\share\document_9.docx,20000000
CERT_LOG_1070,09/02/2026 01:30:00,USER_114,PC_114,Logon,\\server\share\document_10.docx,21000000
CERT_LOG_1071,09/02/2026 01:45:00,USER_115,PC_115,FileOpen,\\server\share\document_11.docx,22000000
CERT_LOG_1072,09/02/2026 02:00:00,USER_116,PC_116,FileOpen,\\server\share\document_12.docx,23000000
CERT_LOG_1073,09/02/2026 02:15:00,USER_117,PC_117,FileOpen,\\server\share\document_13.docx,24000000
CERT_LOG_1074,09/02/2026 02:30:00,USER_118,PC_118,FileOpen,\\server\share\document_14.docx,25000000
CERT_LOG_1075,09/02/2026 02:45:00,USER_119,PC_119,FileOpen,\\server\share\document_0.docx,1000000
CERT_LOG_1076,09/02/2026 03:00:00,USER_101,PC_101,FileOpen,\\server\share\document_1.docx,2000000
CERT_LOG_1077,09/02/2026 03:15:00,USER_102,PC_102,FileOpen,\\server\share\document_2.docx,3000000
CERT_LOG_1078,09/02/2026 03:30:00,USER_103,PC_103,FileOpen,\\server\share\document_3.docx,4000000
CERT_LOG_1079,09/02/2026 03:45:00,USER_104,PC_104,FileOpen,\\server\share\document_4.docx,5000000
CERT_LOG_1080,09/02/2026 04:00:00,USER_105,PC_105,Logon,\\server\share\document_5.docx,6000000
CERT_LOG_1081,09/02/2026 04:15:00,USER_106,PC_106,FileOpen,\\server\share\document_6.docx,7000000
CERT_LOG_1082,09/02/2026 04:30:00,USER_107,PC_107,FileOpen,\\server\share\document_7.docx,8000000
CERT_LOG_1083,09/02/2026 04:45:00,USER_108,PC_108,FileOpen,\\server\share\document_8.docx,9000000
CERT_LOG_1084,09/02/2026 05:00:00,USER_109,PC_109,FileOpen,\\server\share\document_9.docx,10000000
CERT_LOG_1085,09/02/2026 05:15:00,USER_110,PC_110,FileOpen,\\server\share\document_10.docx,11000000
CERT_LOG_1086,09/02/2026 05:30:00,USER_111,PC_111,FileOpen,\\server\share\document_11.docx,12000000
CERT_LOG_1087,09/02/2026 05:45:00,USER_112,PC_112,FileOpen,\\server\share\document_12.docx,13000000
CERT_LOG_1088,09/02/2026 06:00:00,USER_113,PC_113,FileOpen,\\server\share\document_13.docx,14000000
CERT_LOG_1089,09/02/2026 06:15:00,USER_114,PC_114,FileOpen,\\server\share\document_14.docx,15000000
CERT_LOG_1090,09/02/2026 06:30:00,USER_115,PC_115,Logon,\\server\share\document_0.docx,16000000
CERT_LOG_1091,09/02/2026 06:45:00,USER_116,PC_116,FileOpen,\\server\share\document_1.docx,17000000
CERT_LOG_1092,09/02/2026 07:00:00,USER_117,PC_117,FileOpen,\\server\share\document_2.docx,18000000
CERT_LOG_1093,09/02/2026 07:15:00,USER_118,PC_118,FileOpen,\\server\share\document_3.docx,19000000
CERT_LOG_1094,09/02/2026 07:30:00,USER_119,PC_119,FileOpen,\\server\share\document_4.docx,20000000
CERT_LOG_1095,09/02/2026 07:45:00,USER_101,PC_101,FileOpen,\\server\share\document_5.docx,21000000
CERT_LOG_1096,09/02/2026 08:00:00,USER_102,PC_102,FileOpen,\\server\share\document_6.docx,22000000
CERT_LOG_1097,09/02/2026 08:15:00,USER_103,PC_103,FileOpen,\\server\share\document_7.docx,23000000
CERT_LOG_1098,09/02/2026 08:30:00,USER_104,PC_104,FileOpen,\\server\share\document_8.docx,24000000
CERT_LOG_1099,09/02/2026 08:45:00,USER_105,PC_105,FileOpen,\\server\share\document_9.docx,25000000
CERT_LOG_1100,09/02/2026 09:00:00,USER_106,PC_106,Logon,\\server\share\document_10.docx,1000000
CERT_LOG_1101,09/02/2026 09:15:00,USER_107,PC_107,FileOpen,\\server\share\document_11.docx,2000000
CERT_LOG_1102,09/02/2026 09:30:00,USER_108,PC_108,FileOpen,\\server\share\document_12.docx,3000000
CERT_LOG_1103,09/02/2026 09:45:00,USER_109,PC_109,FileOpen,\\server\share\document_13.docx,4000000
CERT_LOG_1104,09/02/2026 10:00:00,USER_110,PC_110,FileOpen,\\server\share\document_14.docx,5000000
CERT_LOG_1105,09/02/2026 10:15:00,USER_111,PC_111,FileOpen,\\server\share\document_0.docx,6000000
CERT_LOG_1106,09/02/2026 10:30:00,USER_112,PC_112,FileOpen,\\server\share\document_1.docx,7000000
CERT_LOG_1107,09/02/2026 10:45:00,USER_113,PC_113,FileOpen,\\server\share\document_2.docx,8000000
CERT_LOG_1108,09/02/2026 11:00:00,USER_114,PC_114,FileOpen,\\server\share\document_3.docx,9000000
CERT_LOG_1109,09/02/2026 11:15:00,USER_115,PC_115,FileOpen,\\server\share\document_4.docx,10000000
CERT_LOG_1110,09/02/2026 11:30:00,USER_116,PC_116,Logon,\\server\share\document_5.docx,11000000
CERT_LOG_1111,09/02/2026 11:45:00,USER_117,PC_117,FileOpen,\\server\share\document_6.docx,12000000
CERT_LOG_1112,09/02/2026 12:00:00,USER_118,PC_118,FileOpen,\\server\share\document_7.docx,13000000
CERT_LOG_1113,09/02/2026 12:15:00,USER_119,PC_119,FileOpen,\\server\share\document_8.docx,14000000
CERT_LOG_1114,09/02/2026 12:30:00,USER_101,PC_101,FileOpen,\\server\share\document_9.docx,15000000
CERT_LOG_1115,09/02/2026 12:45:00,USER_102,PC_102,FileOpen,\\server\share\document_10.docx,16000000
CERT_LOG_1116,09/02/2026 13:00:00,USER_103,PC_103,FileOpen,\\server\share\document_11.docx,17000000
CERT_LOG_1117,09/02/2026 13:15:00,USER_104,PC_104,FileOpen,\\server\share\document_12.docx,18000000
CERT_LOG_1118,09/02/2026 13:30:00,USER_105,PC_105,FileOpen,\\server\share\document_13.docx,19000000
CERT_LOG_1119,09/02/2026 13:45:00,USER_106,PC_106,FileOpen,\\server\share\document_14.docx,20000000
CERT_LOG_1120,09/02/2026 14:00:00,USER_107,PC_107,Logon,\\server\share\document_0.docx,21000000
CERT_LOG_1121,09/02/2026 14:15:00,USER_108,PC_108,FileOpen,\\server\share\document_1.docx,22000000
CERT_LOG_1122,09/02/2026 14:30:00,USER_109,PC_109,FileOpen,\\server\share\document_2.docx,23000000
CERT_LOG_1123,09/02/2026 14:45:00,USER_110,PC_110,FileOpen,\\server\share\document_3.docx,24000000
CERT_LOG_1124,09/02/2026 15:00:00,USER_111,PC_111,FileOpen,\\server\share\document_4.docx,25000000
CERT_LOG_1125,09/02/2026 15:15:00,USER_112,PC_112,FileOpen,\\server\share\document_5.docx,1000000
CERT_LOG_1126,09/02/2026 15:30:00,USER_113,PC_113,FileOpen,\\server\share\document_6.docx,2000000
CERT_LOG_1127,09/02/2026 15:45:00,USER_114,PC_114,FileOpen,\\server\share\document_7.docx,3000000
CERT_LOG_1128,09/02/2026 16:00:00,USER_115,PC_115,FileOpen,\\server\share\document_8.docx,4000000
CERT_LOG_1129,09/02/2026 16:15:00,USER_116,PC_116,FileOpen,\\server\share\document_9.docx,5000000
CERT_LOG_1130,09/02/2026 16:30:00,USER_117,PC_117,Logon,\\server\share\document_10.docx,6000000
CERT_LOG_1131,09/02/2026 16:45:00,USER_118,PC_118,FileOpen,\\server\share\document_11.docx,7000000
CERT_LOG_1132,09/02/2026 17:00:00,USER_119,PC_119,FileOpen,\\server\share\document_12.docx,8000000
CERT_LOG_1133,09/02/2026 17:15:00,USER_101,PC_101,FileOpen,\\server\share\document_13.docx,9000000
CERT_LOG_1134,09/02/2026 17:30:00,USER_102,PC_102,FileOpen,\\server\share\document_14.docx,10000000
CERT_LOG_1135,09/02/2026 17:45:00,USER_103,PC_103,FileOpen,\\server\share\document_0.docx,11000000
CERT_LOG_1136,09/02/2026 18:00:00,USER_104,PC_104,FileOpen,\\server\share\document_1.docx,12000000
CERT_LOG_1137,09/02/2026 18:15:00,USER_105,PC_105,FileOpen,\\server\share\document_2.docx,13000000
CERT_LOG_1138,09/02/2026 18:30:00,USER_106,PC_106,FileOpen,\\server\share\document_3.docx,14000000
CERT_LOG_1139,09/02/2026 18:45:00,USER_107,PC_107,FileOpen,\\server\share\document_4.docx,15000000
CERT_LOG_1140,09/02/2026 19:00:00,USER_108,PC_108,Logon,\\server\share\document_5.docx,16000000
CERT_LOG_1141,09/02/2026 19:15:00,USER_109,PC_109,FileOpen,\\server\share\document_6.docx,17000000
CERT_LOG_1142,09/02/2026 19:30:00,USER_110,PC_110,FileOpen,\\server\share\document_7.docx,18000000
CERT_LOG_1143,09/02/2026 19:45:00,USER_111,PC_111,FileOpen,\\server\share\document_8.docx,19000000
CERT_LOG_1144,09/02/2026 20:00:00,USER_112,PC_112,FileOpen,\\server\share\document_9.docx,20000000
CERT_LOG_1145,09/02/2026 20:15:00,USER_113,PC_113,FileOpen,\\server\share\document_10.docx,21000000
CERT_LOG_1146,09/02/2026 20:30:00,USER_114,PC_114,FileOpen,\\server\share\document_11.docx,22000000
CERT_LOG_1147,09/02/2026 20:45:00,USER_115,PC_115,FileOpen,\\server\share\document_12.docx,23000000
CERT_LOG_1148,09/02/2026 21:00:00,USER_116,PC_116,FileOpen,\\server\share\document_13.docx,24000000
CERT_LOG_1149,09/02/2026 21:15:00,USER_117,PC_117,FileOpen,\\server\share\document_14.docx,25000000
CERT_LOG_1150,09/02/2026 21:30:00,USER_118,PC_118,Logon,\\server\share\document_0.docx,1000000
CERT_LOG_1151,09/02/2026 21:45:00,USER_119,PC_119,FileOpen,\\server\share\document_1.docx,2000000
CERT_LOG_1152,09/02/2026 22:00:00,USER_101,PC_101,FileOpen,\\server\share\document_2.docx,3000000
CERT_LOG_1153,09/02/2026 22:15:00,USER_102,PC_102,FileOpen,\\server\share\document_3.docx,4000000
CERT_LOG_1154,09/02/2026 22:30:00,USER_103,PC_103,FileOpen,\\server\share\document_4.docx,5000000
CERT_LOG_1155,09/02/2026 22:45:00,USER_104,PC_104,FileOpen,\\server\share\document_5.docx,6000000
CERT_LOG_1156,09/02/2026 23:00:00,USER_105,PC_105,FileOpen,\\server\share\document_6.docx,7000000
CERT_LOG_1157,09/02/2026 23:15:00,USER_106,PC_106,FileOpen,\\server\share\document_7.docx,8000000
CERT_LOG_1158,09/02/2026 23:30:00,USER_107,PC_107,FileOpen,\\server\share\document_8.docx,9000000
CERT_LOG_1159,09/02/2026 23:45:00,USER_108,PC_108,FileOpen,\\server\share\document_9.docx,10000000
CERT_LOG_1160,09/03/2026 00:00:00,USER_109,PC_109,Logon,\\server\share\document_10.docx,11000000
CERT_LOG_1161,09/03/2026 00:15:00,USER_110,PC_110,FileOpen,\\server\share\document_11.docx,12000000
CERT_LOG_1162,09/03/2026 00:30:00,USER_111,PC_111,FileOpen,\\server\share\document_12.docx,13000000
CERT_LOG_1163,09/03/2026 00:45:00,USER_112,PC_112,FileOpen,\\server\share\document_13.docx,14000000
CERT_LOG_1164,09/03/2026 01:00:00,USER_113,PC_113,FileOpen,\\server\share\document_14.docx,15000000
CERT_LOG_1165,09/03/2026 01:15:00,USER_114,PC_114,FileOpen,\\server\share\document_0.docx,16000000
CERT_LOG_1166,09/03/2026 01:30:00,USER_115,PC_115,FileOpen,\\server\share\document_1.docx,17000000
CERT_LOG_1167,09/03/2026 01:45:00,USER_116,PC_116,FileOpen,\\server\share\document_2.docx,18000000
CERT_LOG_1168,09/03/2026 02:00:00,USER_117,PC_117,FileOpen,\\server\share\document_3.docx,19000000
CERT_LOG_1169,09/03/2026 02:15:00,USER_118,PC_118,FileOpen,\\server\share\document_4.docx,20000000
CERT_LOG_1170,09/03/2026 02:30:00,USER_119,PC_119,Logon,\\server\share\document_5.docx,21000000
CERT_LOG_1171,09/03/2026 02:45:00,USER_101,PC_101,FileOpen,\\server\share\document_6.docx,22000000
CERT_LOG_1172,09/03/2026 03:00:00,USER_102,PC_102,FileOpen,\\server\share\document_7.docx,23000000
CERT_LOG_1173,09/03/2026 03:15:00,USER_103,PC_103,FileOpen,\\server\share\document_8.docx,24000000
CERT_LOG_1174,09/03/2026 03:30:00,USER_104,PC_104,FileOpen,\\server\share\document_9.docx,25000000
CERT_LOG_1175,09/03/2026 03:45:00,USER_105,PC_105,FileOpen,\\server\share\document_10.docx,1000000
CERT_LOG_1176,09/03/2026 04:00:00,USER_106,PC_106,FileOpen,\\server\share\document_11.docx,2000000
CERT_LOG_1177,09/03/2026 04:15:00,USER_107,PC_107,FileOpen,\\server\share\document_12.docx,3000000
CERT_LOG_1178,09/03/2026 04:30:00,USER_108,PC_108,FileOpen,\\server\share\document_13.docx,4000000
CERT_LOG_1179,09/03/2026 04:45:00,USER_109,PC_109,FileOpen,\\server\share\document_14.docx,5000000
CERT_LOG_1180,09/03/2026 05:00:00,USER_110,PC_110,Logon,\\server\share\document_0.docx,6000000
CERT_LOG_1181,09/03/2026 05:15:00,USER_111,PC_111,FileOpen,\\server\share\document_1.docx,7000000
CERT_LOG_1182,09/03/2026 05:30:00,USER_112,PC_112,FileOpen,\\server\share\document_2.docx,8000000
CERT_LOG_1183,09/03/2026 05:45:00,USER_113,PC_113,FileOpen,\\server\share\document_3.docx,9000000
CERT_LOG_1184,09/03/2026 06:00:00,USER_114,PC_114,FileOpen,\\server\share\document_4.docx,10000000
CERT_LOG_1185,09/03/2026 06:15:00,USER_115,PC_115,FileOpen,\\server\share\document_5.docx,11000000
CERT_LOG_1186,09/03/2026 06:30:00,USER_116,PC_116,FileOpen,\\server\share\document_6.docx,12000000
CERT_LOG_1187,09/03/2026 06:45:00,USER_117,PC_117,FileOpen,\\server\share\document_7.docx,13000000
CERT_LOG_1188,09/03/2026 07:00:00,USER_118,PC_118,FileOpen,\\server\share\document_8.docx,14000000
CERT_LOG_1189,09/03/2026 07:15:00,USER_119,PC_119,FileOpen,\\server\share\document_9.docx,15000000
CERT_LOG_1190,09/03/2026 07:30:00,USER_101,PC_101,Logon,\\server\share\document_10.docx,16000000
CERT_LOG_1191,09/03/2026 07:45:00,USER_102,PC_102,FileOpen,\\server\share\document_11.docx,17000000
CERT_LOG_1192,09/03/2026 08:00:00,USER_103,PC_103,FileOpen,\\server\share\document_12.docx,18000000
CERT_LOG_1193,09/03/2026 08:15:00,USER_104,PC_104,FileOpen,\\server\share\document_13.docx,19000000
CERT_LOG_1194,09/03/2026 08:30:00,USER_105,PC_105,FileOpen,\\server\share\document_14.docx,20000000
CERT_LOG_1195,09/03/2026 08:45:00,USER_106,PC_106,FileOpen,\\server\share\document_0.docx,21000000
CERT_LOG_1196,09/03/2026 09:00:00,USER_107,PC_107,FileOpen,\\server\share\document_1.docx,22000000
CERT_LOG_1197,09/03/2026 09:15:00,USER_108,PC_108,FileOpen,\\server\share\document_2.docx,23000000
CERT_LOG_1198,09/03/2026 09:30:00,USER_109,PC_109,FileOpen,\\server\share\document_3.docx,24000000
CERT_LOG_1199,09/03/2026 09:45:00,USER_110,PC_110,FileOpen,\\server\share\document_4.docx,25000000
CERT_LOG_1200,09/03/2026 10:00:00,USER_111,PC_111,Logon,\\server\share\document_5.docx,1000000
CERT_LOG_1201,09/03/2026 10:15:00,USER_112,PC_112,FileOpen,\\server\share\document_6.docx,2000000
CERT_LOG_1202,09/03/2026 10:30:00,USER_113,PC_113,FileOpen,\\server\share\document_7.docx,3000000
CERT_LOG_1203,09/03/2026 10:45:00,USER_114,PC_114,FileOpen,\\server\share\document_8.docx,4000000
CERT_LOG_1204,09/03/2026 11:00:00,USER_115,PC_115,FileOpen,\\server\share\document_9.docx,5000000
CERT_LOG_1205,09/03/2026 11:15:00,USER_116,PC_116,FileOpen,\\server\share\document_10.docx,6000000
CERT_LOG_1206,09/03/2026 11:30:00,USER_117,PC_117,FileOpen,\\server\share\document_11.docx,7000000
CERT_LOG_1207,09/03/2026 11:45:00,USER_118,PC_118,FileOpen,\\server\share\document_12.docx,8000000
CERT_LOG_1208,09/03/2026 12:00:00,USER_119,PC_119,FileOpen,\\server\share\document_13.docx,9000000
CERT_LOG_1209,09/03/2026 12:15:00,USER_101,PC_101,FileOpen,\\server\share\document_14.docx,10000000
CERT_LOG_1210,09/03/2026 12:30:00,USER_102,PC_102,Logon,\\server\share\document_0.docx,11000000
CERT_LOG_1211,09/03/2026 12:45:00,USER_103,PC_103,FileOpen,\\server\share\document_1.docx,12000000
CERT_LOG_1212,09/03/2026 13:00:00,USER_104,PC_104,FileOpen,\\server\share\document_2.docx,13000000
CERT_LOG_1213,09/03/2026 13:15:00,USER_105,PC_105,FileOpen,\\server\share\document_3.docx,14000000
CERT_LOG_1214,09/03/2026 13:30:00,USER_106,PC_106,FileOpen,\\server\share\document_4.docx,15000000
CERT_LOG_1215,09/03/2026 13:45:00,USER_107,PC_107,FileOpen,\\server\share\document_5.docx,16000000
CERT_LOG_1216,09/03/2026 14:00:00,USER_108,PC_108,FileOpen,\\server\share\document_6.docx,17000000
CERT_LOG_1217,09/03/2026 14:15:00,USER_109,PC_109,FileOpen,\\server\share\document_7.docx,18000000
CERT_LOG_1218,09/03/2026 14:30:00,USER_110,PC_110,FileOpen,\\server\share\document_8.docx,19000000
CERT_LOG_1219,09/03/2026 14:45:00,USER_111,PC_111,FileOpen,\\server\share\document_9.docx,20000000
CERT_LOG_1220,09/03/2026 15:00:00,USER_112,PC_112,Logon,\\server\share\document_10.docx,21000000
CERT_LOG_1221,09/03/2026 15:15:00,USER_113,PC_113,FileOpen,\\server\share\document_11.docx,22000000
CERT_LOG_1222,09/03/2026 15:30:00,USER_114,PC_114,FileOpen,\\server\share\document_12.docx,23000000
CERT_LOG_1223,09/03/2026 15:45:00,USER_115,PC_115,FileOpen,\\server\share\document_13.docx,24000000
CERT_LOG_1224,09/03/2026 16:00:00,USER_116,PC_116,FileOpen,\\server\share\document_14.docx,25000000
CERT_LOG_1225,09/03/2026 16:15:00,USER_117,PC_117,FileOpen,\\server\share\document_0.docx,1000000
CERT_LOG_1226,09/03/2026 16:30:00,USER_118,PC_118,FileOpen,\\server\share\document_1.docx,2000000
CERT_LOG_1227,09/03/2026 16:45:00,USER_119,PC_119,FileOpen,\\server\share\document_2.docx,3000000
CERT_LOG_1228,09/03/2026 17:00:00,USER_101,PC_101,FileOpen,\\server\share\document_3.docx,4000000
CERT_LOG_1229,09/03/2026 17:15:00,USER_102,PC_102,FileOpen,\\server\share\document_4.docx,5000000
CERT_LOG_1230,09/03/2026 17:30:00,USER_103,PC_103,Logon,\\server\share\document_5.docx,6000000
CERT_LOG_1231,09/03/2026 17:45:00,USER_104,PC_104,FileOpen,\\server\share\document_6.docx,7000000
CERT_LOG_1232,09/03/2026 18:00:00,USER_105,PC_105,FileOpen,\\server\share\document_7.docx,8000000
CERT_LOG_1233,09/03/2026 18:15:00,USER_106,PC_106,FileOpen,\\server\share\document_8.docx,9000000
CERT_LOG_1234,09/03/2026 18:30:00,USER_107,PC_107,FileOpen,\\server\share\document_9.docx,10000000
CERT_LOG_1235,09/03/2026 18:45:00,USER_108,PC_108,FileOpen,\\server\share\document_10.docx,11000000
CERT_LOG_1236,09/03/2026 19:00:00,USER_109,PC_109,FileOpen,\\server\share\document_11.docx,12000000
CERT_LOG_1237,09/03/2026 19:15:00,USER_110,PC_110,FileOpen,\\server\share\document_12.docx,13000000
CERT_LOG_1238,09/03/2026 19:30:00,USER_111,PC_111,FileOpen,\\server\share\document_13.docx,14000000
CERT_LOG_1239,09/03/2026 19:45:00,USER_112,PC_112,FileOpen,\\server\share\document_14.docx,15000000
CERT_LOG_1240,09/03/2026 20:00:00,USER_113,PC_113,Logon,\\server\share\document_0.docx,16000000
CERT_LOG_1241,09/03/2026 20:15:00,USER_114,PC_114,FileOpen,\\server\share\document_1.docx,17000000
CERT_LOG_1242,09/03/2026 20:30:00,USER_115,PC_115,FileOpen,\\server\share\document_2.docx,18000000
CERT_LOG_1243,09/03/2026 20:45:00,USER_116,PC_116,FileOpen,\\server\share\document_3.docx,19000000
CERT_LOG_1244,09/03/2026 21:00:00,USER_117,PC_117,FileOpen,\\server\share\document_4.docx,20000000
